St  Name                           Version                        Arch   Description                                                  Licenses
ii  liblogging-stdlog0:armhf       1.0.4-1                        armhf  easy to use and lightweight logging library                  BSD-2-Clause
ii  liblognorm1:armhf              1.0.1-3                        armhf  Log normalizing library                                      LGPL-2.1
ii  libluajit-5.1-common           2.0.3+dfsg-3                   all    Just in time compiler for Lua - common files                 MIT/X PD
ii  liblwres90                     1:9.9.5.dfsg-9+deb8u6          armhf  Lightweight Resolver Library used by BIND                    unknown
ii  liblzma5:armhf                 5.1.1alpha+20120614-2          armhf  XZ-format compression library                                Autoconf GPL-2 GPL-2+ LGPL-2.1+ PD PD-debian config-h noderivs none permissive-fsf permissive-nowarranty probably-PD
ii  libmagic1:armhf                1:5.22+15-2+deb8u2             armhf  File type determination library using "magic" numbers        BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain
ii  libmodule-build-perl           0.421000-2+deb8u1              all    framework for building and installing Perl modules           Artistic Artistic or GPL-1+ CC0 GPL-1+
ii  libmodule-pluggable-perl       5.1-1                          all    module for giving  modules the ability to have plugins       Artistic Artistic or GPL-1+ GPL-1+
ii  libmodule-signature-perl       0.73-1+deb8u2                  all    module to manipulate CPAN SIGNATURE files                    Artistic Artistic or GPL-1+ CC0 GPL-1+
ii  libmount1:armhf                2.25.2-6                       armhf  device mounting library                                      BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libmpc3:armhf                  1.0.2-1                        armhf  multiple precision complex floating-point library            LGPL-2.1
ii  libmpfr4:armhf                 3.1.2-2                        armhf  multiple precision floating-point computation                GFDL LGPL-3
ii  libmro-compat-perl             0.12-1                         all    mro::* interface compatibility for Perls < 5.9.5             Artistic Artistic or GPL-1+ GPL-1+
ii  libncurses5:armhf              5.9+20140913-1                 armhf  shared libraries for terminal handling                       unknown
